id,x,y,width,height,xoffset,yoffset,xadvance,page,chnl
32,0,0,0,0,0,26,16,0,0
125,0,0,13,31,2,2,13,0,0
123,13,0,13,31,1,2,13,0,0
36,26,0,18,29,2,2,20,0,0
81,44,0,18,29,1,4,17,0,0
124,62,0,7,28,1,2,7,0,0
93,69,0,11,28,1,3,12,0,0
91,80,0,11,28,2,3,12,0,0
41,91,0,11,28,2,4,11,0,0
40,102,0,11,28,2,4,11,0,0
106,113,0,12,28,2,6,13,0,0
37,125,0,25,27,1,2,25,0,0
92,150,0,16,27,1,3,15,0,0
47,166,0,16,27,1,3,16,0,0
113,182,0,19,27,1,9,17,0,0
112,201,0,16,26,1,9,16,0,0
104,217,0,17,26,2,2,17,0,0
74,234,0,18,26,0,5,15,0,0
35,252,0,25,25,1,3,25,0,0
57,277,0,16,25,1,5,16,0,0
108,293,0,8,25,3,4,9,0,0
102,301,0,16,25,1,4,12,0,0
79,317,0,18,25,1,4,17,0,0
70,335,0,16,25,0,4,14,0,0
64,351,0,23,24,2,5,24,0,0
63,374,0,15,24,1,6,16,0,0
56,389,0,16,24,2,5,16,0,0
55,405,0,17,24,1,6,16,0,0
121,422,0,16,24,1,10,16,0,0
107,438,0,16,24,2,4,16,0,0
105,454,0,8,24,2,4,8,0,0
103,462,0,16,24,1,9,16,0,0
100,478,0,17,24,1,4,16,0,0
98,495,0,17,24,1,4,17,0,0
82,512,0,19,24,0,4,17,0,0
80,531,0,18,24,0,5,16,0,0
78,549,0,18,24,2,4,19,0,0
75,567,0,20,24,0,5,18,0,0
33,587,0,8,23,3,4,11,0,0
54,595,0,17,23,1,5,16,0,0
49,612,0,11,23,4,5,16,0,0
116,623,0,13,23,1,6,12,0,0
90,636,0,20,23,1,5,19,0,0
89,656,0,18,23,0,5,16,0,0
88,674,0,19,23,1,5,18,0,0
87,693,0,25,23,1,6,24,0,0
86,718,0,19,23,1,5,15,0,0
84,737,0,19,23,0,5,16,0,0
83,756,0,18,23,0,5,17,0,0
73,774,0,14,23,1,6,13,0,0
72,788,0,19,23,0,5,18,0,0
71,807,0,19,23,0,5,17,0,0
69,826,0,18,23,0,5,16,0,0
68,844,0,19,23,1,6,17,0,0
67,863,0,17,23,1,5,16,0,0
66,880,0,17,23,1,5,16,0,0
65,897,0,18,23,1,5,18,0,0
38,915,0,21,22,1,6,20,0,0
48,936,0,17,22,1,6,16,0,0
53,953,0,16,22,2,6,16,0,0
52,969,0,17,22,1,6,16,0,0
51,986,0,17,22,1,6,16,0,0
85,1003,0,17,22,1,6,16,0,0
77,0,31,23,22,1,6,22,0,0
50,23,31,17,21,2,6,16,0,0
76,40,31,16,21,1,6,15,0,0
59,56,31,8,19,3,11,10,0,0
122,64,31,16,19,1,10,15,0,0
120,80,31,17,19,1,10,16,0,0
115,97,31,14,19,1,10,13,0,0
101,111,31,16,19,1,9,14,0,0
58,127,31,8,18,2,10,10,0,0
119,135,31,23,18,1,11,22,0,0
114,158,31,14,18,1,10,13,0,0
111,172,31,16,18,1,10,15,0,0
109,188,31,21,18,2,10,23,0,0
99,209,31,15,18,1,10,15,0,0
97,224,31,17,18,1,10,16,0,0
43,241,31,16,17,2,10,17,0,0
118,257,31,17,17,0,11,15,0,0
117,274,31,17,17,1,11,16,0,0
110,291,31,15,17,2,11,16,0,0
62,306,31,13,15,2,11,15,0,0
60,319,31,13,15,2,11,15,0,0
42,332,31,15,14,2,2,15,0,0
61,347,31,14,12,3,13,17,0,0
94,361,31,14,10,1,2,13,0,0
44,375,31,8,10,2,21,9,0,0
39,383,31,6,9,2,4,8,0,0
34,389,31,13,9,2,4,13,0,0
96,402,31,10,8,0,4,8,0,0
126,412,31,19,7,1,6,18,0,0
46,431,31,8,7,3,20,10,0,0
45,439,31,13,6,2,15,14,0,0
95,452,31,23,5,2,26,24,0,0
