id,x,y,width,height,xoffset,yoffset,xadvance,page,chnl
32,0,0,0,0,0,33,9,0,0
36,0,0,16,28,0,9,18,0,0
92,16,0,16,28,0,9,18,0,0
64,32,0,25,28,0,9,27,0,0
47,57,0,16,28,0,9,15,0,0
124,73,0,4,28,0,9,6,0,0
125,77,0,10,28,0,9,12,0,0
123,87,0,10,28,0,9,12,0,0
93,97,0,10,28,0,9,12,0,0
91,107,0,10,28,0,9,12,0,0
41,117,0,10,28,0,9,12,0,0
40,127,0,10,28,0,9,12,0,0
106,137,0,10,28,-3,12,6,0,0
81,147,0,16,25,0,12,18,0,0
38,163,0,16,22,0,12,18,0,0
35,179,0,16,22,0,12,18,0,0
37,195,0,22,22,0,12,24,0,0
59,217,0,7,22,0,18,9,0,0
63,224,0,16,22,0,12,18,0,0
33,240,0,4,22,3,12,9,0,0
48,0,28,16,22,0,12,18,0,0
57,16,28,16,22,0,12,18,0,0
56,32,28,16,22,0,12,18,0,0
55,48,28,16,22,0,12,18,0,0
54,64,28,16,22,0,12,18,0,0
53,80,28,16,22,0,12,18,0,0
52,96,28,16,22,0,12,18,0,0
51,112,28,16,22,0,12,18,0,0
50,128,28,16,22,0,12,18,0,0
49,144,28,7,22,0,12,9,0,0
121,151,28,13,22,0,18,15,0,0
116,164,28,10,22,0,12,12,0,0
113,174,28,13,22,0,18,15,0,0
112,187,28,13,22,0,18,15,0,0
108,200,28,4,22,0,12,6,0,0
107,204,28,13,22,0,12,15,0,0
105,217,28,4,22,0,12,6,0,0
104,221,28,13,22,0,12,15,0,0
103,234,28,13,22,0,18,15,0,0
102,0,50,10,22,0,12,9,0,0
100,10,50,13,22,0,12,15,0,0
98,23,50,13,22,0,12,15,0,0
90,36,50,16,22,0,12,18,0,0
89,52,50,16,22,0,12,18,0,0
88,68,50,16,22,0,12,18,0,0
87,84,50,22,22,0,12,24,0,0
86,106,50,16,22,0,12,18,0,0
85,122,50,16,22,0,12,18,0,0
84,138,50,16,22,0,12,18,0,0
83,154,50,16,22,0,12,18,0,0
82,170,50,16,22,0,12,18,0,0
80,186,50,16,22,0,12,18,0,0
79,202,50,16,22,0,12,18,0,0
78,218,50,16,22,0,12,18,0,0
77,0,72,22,22,0,12,24,0,0
76,22,72,13,22,0,12,15,0,0
75,35,72,16,22,0,12,18,0,0
74,51,72,13,22,0,12,15,0,0
73,64,72,4,22,0,12,6,0,0
72,68,72,16,22,0,12,18,0,0
71,84,72,16,22,0,12,18,0,0
70,100,72,16,22,0,12,18,0,0
69,116,72,16,22,0,12,18,0,0
68,132,72,16,22,0,12,18,0,0
67,148,72,16,22,0,12,18,0,0
66,164,72,16,22,0,12,18,0,0
65,180,72,16,22,0,12,18,0,0
42,196,72,16,16,0,12,18,0,0
43,212,72,16,16,0,15,18,0,0
62,228,72,10,16,0,15,12,0,0
60,238,72,10,16,0,15,12,0,0
58,248,72,4,16,3,18,9,0,0
122,0,94,10,16,0,18,12,0,0
120,10,94,13,16,0,18,15,0,0
119,23,94,22,16,0,18,24,0,0
118,45,94,13,16,0,18,15,0,0
117,58,94,13,16,0,18,15,0,0
115,71,94,10,16,0,18,12,0,0
114,81,94,10,16,0,18,12,0,0
111,91,94,13,16,0,18,15,0,0
110,104,94,13,16,0,18,15,0,0
109,117,94,22,16,0,18,24,0,0
101,139,94,13,16,0,18,15,0,0
99,152,94,13,16,0,18,15,0,0
97,165,94,13,16,0,18,15,0,0
61,178,94,10,10,0,18,12,0,0
44,188,94,7,10,0,30,9,0,0
126,195,94,13,7,0,12,15,0,0
94,208,94,10,7,0,12,12,0,0
39,218,94,4,7,0,12,6,0,0
96,222,94,7,7,0,3,9,0,0
34,229,94,10,7,0,12,12,0,0
95,239,94,10,4,0,30,12,0,0
45,0,110,10,4,0,24,12,0,0
46,10,110,4,4,3,30,9,0,0
